Completed Date;Reference;Paid Out (CHF);Paid In (CHF);Exchange Out;Exchange In; Balance (CHF);Category
March 6;Green Gorilla;19.90;;;; 8'172.01;restaurants
March 5;Nespresso Boutique Gen;69.00;;;; 8'191.91;groceries
March 5;Activ Fitness Ag Gen?v;5.50;;;; 8'260.91;entertainment
March 5;La Maison Du Moulin Sa;60.00;;;; 8'266.41;shopping
March 5;Restaurant Mekong;44.00;;;; 8'326.41;restaurants
March 5;Lidl 124 - Gland;136.15;;;; 8'370.41;groceries
March 4;Jayland;15.50;;;; 8'506.56;entertainment
March 4;Grand Cafe Real Sa;116.30;;;; 8'522.06;restaurants
March 1;Bosphore-resto;9.90;;;; 8'638.36;restaurants
March 1;Brevent - Flegere (Chamonix Mont Blanc);38.87;;EUR 34.20;; 8'648.26;entertainment
March 1;Hôtel Mont-Blanc;31.80;;EUR 28.00;; 8'687.13;travel
March 1;Wing Sheng Store;33.76;;EUR 29.65;; 8'718.93;shopping
March 1;Sarl Wowo;77.20;;EUR 67.80;; 8'752.69;restaurants
March 1;Caf? Ex Machina S?rl;18.50;;;; 8'829.89;restaurants
March 1;Caf? Ex Machina S?rl;35.00;;;; 8'848.39;restaurants
March 1;Coop Pronto Nyon;45.00;;;; 8'883.39;transport
March 1;Payment from Martin Alexander Tengelin Et/ou;; 7'995.00;;; 8'928.39;general
March 1;Pharmacie Valle;80.51;;EUR 70.80;; 933.39;services
March 1;Le Faucigny;34.08;;EUR 30.00;; 1'013.90;travel
February 28;Lowi;101.92;;EUR 89.50;; 1'047.98;restaurants
February 27;Snell Sports;159.22;;EUR 139.95;; 1'149.90;shopping
February 27;Rest La Cabane;144.95;;EUR 127.50;; 1'309.12;restaurants
February 27;Airbnb * Hmxjkk3zt5;175.64;;USD 175.52;; 1'454.07;travel
February 26;EQIOM France;8.90;;EUR 7.80;; 1'629.71;transport
February 25;La Nautique;83.40;;;; 1'638.61;restaurants
February 25;Sushi Haiku;59.40;;;; 1'722.01;restaurants
February 25;Manor Ag;27.60;;;; 1'781.41;groceries
February 25;Caf? Ex Machina S?rl;21.00;;;; 1'809.01;restaurants
February 25;Grand Cafe Real Sa;60.80;;;; 1'830.01;restaurants
February 25;Boulangerie Bonnin;5.30;;;; 1'890.81;groceries
February 25;Rest Le Leman;62.30;;;; 1'896.11;restaurants
February 25;Migros;57.40;;;; 1'958.41;groceries
February 22;Sumup  *pb Pain Et Bri;8.80;;;; 2'015.81;restaurants
February 22;Paypal *birthposter;190.98;;EUR 168.30;; 2'024.61;shopping
February 21;Pharmacie-parf. Sunsto;58.70;;;; 2'215.59;health
February 21;Coop@home - 6003;236.00;;;; 2'274.29;groceries
February 20;Vitam Parc;21.70;;EUR 19.00;; 2'510.29;entertainment
February 20;Hospital de La Tour;4.00;;;; 2'531.99;health
February 20;Clinique Generale-b.;330.00;;;; 2'535.99;health
February 20;Migros M Etoy;59.95;;;; 2'865.99;groceries
February 20;Orchestra;197.75;;;; 2'925.94;shopping
February 20;Miniprix;119.50;;;; 3'123.69;transport
February 20;Pharmacie-parf. Sunsto;20.40;;;; 3'243.19;health
February 19;Manor Chavannes;49.90;;;; 3'263.59;shopping
February 19;McDonald's;22.38;;EUR 19.60;; 3'313.49;restaurants
February 19;Facebk *alzheimerssoci;25.00;;;; 3'335.87;services
February 18;Coop Pronto Nyon;22.35;;;; 3'360.87;transport
February 18;Migros;48.40;;;; 3'383.22;groceries
February 18;Controle Des Habitants;30.00;;;; 3'431.62;services
February 18;Google;2.00;;;; 3'461.62;services
February 15;Brin De Folie Fleurs;46.00;;;; 3'463.62;utilities
February 15;Coop Supermarché Signy;7.95;;;; 3'509.62;groceries
February 15;Brasserie De Rive;81.60;;;; 3'517.57;restaurants
February 15;Socar Nyon;22.45;;;; 3'599.17;transport
February 14;Caf? Ex Machina S?rl;13.00;;;; 3'621.62;restaurants
February 13;Ochsner Sport;3.20;;;; 3'634.62;shopping
February 13;Globus Gastro Gen ve;29.00;;;; 3'637.82;groceries
February 13;Green Gorilla Holmes P;19.90;;;; 3'666.82;restaurants
February 12;Activ Fitness Ag Gen?v;5.50;;;; 3'686.72;entertainment
February 12;Parking-relais Lausann;3.00;;;; 3'692.22;transport
February 12;Nextory Ab;10.77;;SEK 99.50;; 3'695.22;general
February 12;McDonald's;20.20;;;; 3'705.99;restaurants
February 11;Socar Nyon;110.16;;;; 3'726.19;transport
February 11;Aquatis Aquarium-vivar;18.90;;;; 3'836.35;travel
February 11;Aquatis Aquarium-vivar;69.00;;;; 3'855.25;travel
February 11;Caf? Ex Machina S?rl;16.00;;;; 3'924.25;restaurants
February 11;Caf? Ex Machina S?rl;14.00;;;; 3'940.25;restaurants
February 11;H  M;68.75;;;; 3'954.25;shopping
February 11;Drog.-parf. Sunstore;113.45;;;; 4'023.00;health
February 11;Ochsner Sport;4.80;;;; 4'136.45;shopping
February 11;Brin De Folie Fleurs;15.00;;;; 4'141.25;utilities
February 8;To Adrien De Castro;23.50;;;; 4'156.25;transfers
February 8;Activ Fitness Ag Gen?v;5.50;;;; 4'179.75;entertainment
February 8;Boucherie-espace Molar;16.50;;;; 4'185.25;groceries
February 7;The Hamburger Foundation - Paquis;25.00;;;; 4'201.75;restaurants
February 7;Restaurant coté sud;17.90;;;; 4'226.75;restaurants
February 6;Restaurant Mekong;23.00;;;; 4'244.65;restaurants
February 6;Easyjet000 Etj9t7l;144.77;;;; 4'267.65;travel
February 6;Starbucks;13.70;;;; 4'412.42;restaurants
February 6;Cash at Nursery Centre Croquelune;200.00;;;; 4'426.12;cash
February 6;Douane Gs Ferney-volta;37.25;;;; 4'626.12;services
February 5;Globus Gastro Gen ve;23.50;;;; 4'663.37;groceries
February 5;Migros;2.05;;;; 4'686.87;groceries
February 5;Migros;2.80;;;; 4'688.92;groceries
February 4;IKEA;6.50;;;; 4'691.72;utilities
February 4;IKEA;52.15;;;; 4'698.22;utilities
February 4;IKEA;305.40;;;; 4'750.37;utilities
February 4;Burger King;6.00;;;; 5'055.77;restaurants
February 4;Burger King;27.70;;;; 5'061.77;restaurants
February 4;Nike SoHo;275.41;;USD 277.32;; 5'089.47;general
February 4;Coop Supermarché Signy;24.95;;;; 5'364.88;groceries
February 4;Interdiscount-3102 Sig;84.90;;;; 5'389.83;shopping
February 4;Caf? Ex Machina S?rl;8.00;;;; 5'474.73;restaurants
February 4;To Charlotte Tengelin;4'000.00;;;; 5'482.73;transfers
February 4;Restaurant Mekong;25.00;;;; 9'482.73;restaurants
February 4;Ochsner Sport;3.20;;;; 9'507.73;shopping
February 4;Gyoza-Bar Wasabi;12.80;;;; 9'510.93;restaurants
February 4;Burger King;7.90;;;; 9'523.73;restaurants
February 4;Parking Clinique Beaul;4.00;;;; 9'531.63;transport
February 4;Coop Pronto Nyon;25.45;;;; 9'535.63;transport
